G;GS;MPG ;FG%;3p%;FT%;OFF ;DEF ;RPG ;APG ;SPG ;BPG ;TO ;PF ;PPG ;Class
334;236;297;424;281;834;8;23;31;44;10;2;20;25;138;1
207;76;187;451;332;779;2;14;16;28;9;4;12;15;69;1
489;190;222;393;314;779;3;13;16;36;8;1;16;22;76;1
1022;626;335;448;380;846;4;22;27;47;13;2;21;20;161;1
65;37;255;448;379;832;7;18;26;41;8;1;16;19;115;1
66;29;243;443;414;868;4;21;24;20;7;3;16;23;125;1
197;91;275;441;362;821;11;22;33;18;10;2;13;18;149;1
473;367;277;395;302;717;7;24;31;64;15;3;27;25;93;1
143;34;245;436;269;747;5;43;48;24;6;2;13;18;82;1
562;234;237;464;354;827;4;18;22;35;8;1;15;17;92;1
60;8;134;395;333;587;8;13;21;22;5;2;7;10;40;1
136;27;189;423;308;807;3;16;18;38;6;1;16;15;62;1
596;588;372;486;291;770;13;37;51;62;18;10;36;25;252;1
200;14;124;420;325;751;2;10;12;7;4;1;6;8;53;1
66;25;272;366;305;789;5;31;35;44;9;3;18;12;121;1
135;130;370;416;236;777;6;40;46;82;16;7;38;23;163;1
305;59;206;422;372;807;4;16;19;26;10;1;11;15;78;1
806;223;230;414;327;703;5;18;23;45;10;2;18;20;68;1
394;191;234;414;374;770;6;25;32;8;5;3;9;18;84;1
432;258;274;448;372;826;5;24;29;36;11;4;16;19;97;1
312;295;342;430;289;818;17;30;47;68;16;3;35;24;190;1
502;128;194;423;330;789;8;17;25;14;8;2;9;17;63;1
506;473;357;455;351;812;5;28;33;92;11;2;32;26;176;1
24;0;62;500;296;333;3;5;8;3;2;1;2;8;37;1
455;38;219;421;337;798;4;16;20;30;8;2;14;14;113;1
589;432;304;441;387;869;5;24;30;49;10;1;23;25;138;1
137;32;230;463;382;767;7;24;31;18;5;1;9;15;101;1
129;9;202;404;315;682;5;34;39;25;6;1;16;14;76;1
357;105;229;429;378;828;4;15;19;9;5;2;12;20;114;1
193;49;170;449;268;770;7;16;23;7;6;2;9;13;66;1
